,capital,cities
Abkhazia (Georgia),Sukhumi,[u'Gagra']
Afghanistan,Kabul,[u'Kandahar']
Akrotiri and Dhekelia (UK),Episkopi Cantonment,[u'Ayios Nikolaos']
Albania,Tirana,[u'Durr\xebs']
Algeria,Algiers,[u'Oran']
American Samoa (US),Pago Pago,"[u'Tafuna', u""Nu'uuli""]"
Andorra,Andorra la Vella,[u'Les Escaldes']
Angola,Luanda,[u'Huambo']
Anguilla (UK),The Valley,"[u'The Valley', u'North Side']"
Antigua and Barbuda,St. John's,[u'All Saints']
Argentina,Buenos Aires,[u'C\xf3rdoba']
Armenia,Yerevan,[u'Gyumri']
Aruba (Netherlands),Oranjestad,[u'Sint Nicolaas']
Australia,Canberra,"[u'Melbourne', u'Sydney']"
Austria,Vienna,[u'Graz']
Azerbaijan,Baku,[u'Ganja']
Bahamas,Nassau,[u'Freeport']
Bahrain,Manama,[u'Riffa']
Bangladesh,Dhaka,[u'Chittagong']
Barbados,Bridgetown,[u'Speightstown']
Belarus,Minsk,[u'Homel']
Belgium,Brussels,[u'Antwerp']
Belize,Belmopan,"[u'Belize City', u'San Ignacio']"
Benin,Porto-Novo,"[u'Abomey-Calavi', u'Cotonou']"
Bermuda (UK),Hamilton,"[u'Hamilton', u""St. George's""]"
Bhutan,Thimphu,[u'Phuntsholing']
Bolivia,"Sucre, La Paz","[u'El Alto', u'Santa Cruz de la Sierra']"
Bosnia and Herzegovina,Sarajevo,[u'Banja Luka']
Botswana,Gaborone,[u'Francistown']
